videoId,textOriginal,authorDisplayName,publishedAt,commentId
t68QfjvISZ8,Geldpumpe,Deniro,2023-04-30T07:54:22Z,UgzuiC_50yAB95LN1kR4AaABAg
t68QfjvISZ8,Keiner hat die Absicht eine Mauer zu bauen. Wer kennt Keiner?,reinhold kempf,2023-04-30T07:04:27Z,UgxkVUSebUdvd5kAO3N4AaABAg
t68QfjvISZ8,"Ja, da hast du endlich was gefunden, alle Wähler gegen die junge Koalition zu stellen und die auf deine Seite zu ziehen um eine neue Partei zu gründen.",Elena Helmut,2023-04-30T06:55:27Z,Ugw-VScC_HP1kkVyL4V4AaABAg
t68QfjvISZ8,die Chinesen freuen sich....,t.u.,2023-04-30T06:43:53Z,Ugzk0GuYXu--JOXF4wR4AaABAg
t68QfjvISZ8,"Man sieht Herrn Habeck richtig an, wie er einfach nur seine Ideologie durchsetzen will … ihm ist das völlig egal, wie die Menschen das umsetzen oder ob sie sich das leisten können.",M.,2023-04-30T06:35:35Z,Ugy0mIqAIyxYNSpKRCB4AaABAg
t68QfjvISZ8,Halts Maul,Defalt 94,2023-04-30T04:53:48Z,Ugz94cCEgthGEiMEk-B4AaABAg
t68QfjvISZ8,immer schōn flach durch die Hose atmen. 🖕,ELEKTROGOWK,2023-04-30T00:29:11Z,UgwIjIjX0CMhba8AQkB4AaABAg
t68QfjvISZ8,Wie gesagt worden ist ä... das keiner sein Job durch corona verliert.,Mike Loher,2023-04-29T23:22:34Z,Ugy762EVp5Al9iCBwCt4AaABAg
t68QfjvISZ8,Weg mit dem Kerl,Conni Pesch,2023-04-29T22:20:03Z,UgzNzuah69PL0tNJi4B4AaABAg
t68QfjvISZ8,"Es ist für n arsch wenn die so weiter machen bombt EINER uns in die Steinzeit zurück, dann interessiert keine Ölheizung mehr. Ruhig bleiben. Kommt Zeit kommt Rat.",pick upman,2023-04-29T21:37:49Z,UgyG4_zy-1zOqJ5NGat4AaABAg
t68QfjvISZ8,Dummland Deutschland hat gewählt diese Politik oder sehe ich das falsch und jetzt müssen alle leiden weil paar idioten die Grünen gewählt haben,Krzysztof Prufer,2023-04-29T20:41:40Z,UgwRI8nT9Nrfh736h4x4AaABAg
t68QfjvISZ8,"Ich kauf mir ne kaputte Fahrrad Pumpe,und Heiz damit die ganze Welt, wenn einer für mich pumpt 😂",Hans Satan,2023-04-29T20:12:48Z,Ugy2INuHWEGwM5SkNWR4AaABAg
t68QfjvISZ8,Deutschland braucht neue AKW,user cloud,2023-04-29T19:18:25Z,Ugz5dKRcW4TjYhyLfJ54AaABAg
t68QfjvISZ8,"Jetzt hat sie auch noch Ahnung von Heizungstechnik...
Einfach nur dumme Polemik um verunsicherte Leute aufzuhetzen.... 🤮🤮🙈🙈",Horst Krüger,2023-04-29T19:05:46Z,Ugyu-AlkhD2wNxesyE14AaABAg
t68QfjvISZ8,wenn man nicht zahlen kann und das Haus verkaufen können Habeck und co ihre geliebten Fachkräfte wohnen Deutsche raus Fachkräfte und Rentenzahler rein,Werner Schock,2023-04-29T17:50:56Z,UgxzV6EGff_qyQreHix4AaABAg
t68QfjvISZ8,Es ist nicht zu fassen..... und alle sehen zu.,Oliver Lorenz,2023-04-29T17:34:00Z,UgzK_xB_rq5Kjv3dinF4AaABAg
t68QfjvISZ8,Warum das ganze verstehe ich nicht um ärmer zu machen vielleicht die Welt lacht uns aus,Wagner N,2023-04-29T17:13:45Z,Ugwv0VDrrl0qegbL7Yl4AaABAg
t68QfjvISZ8,Tatsächlich freue ich mich meine Gasheizung zu verschrotten. Auch in Altbau. Alternativen gibt es ja.,D. Habermann,2023-04-29T17:11:04Z,UgzPz37UG6_jgo_v9s94AaABAg
t68QfjvISZ8,Frau Wagenknecht hat absolut recht. Aber sie ist in der falschen Partei,St. Ich,2023-04-29T15:55:15Z,UgwnxCEjze5CORP3B2V4AaABAg
t68QfjvISZ8,"HJ lässt grüssen. 

+++ 16:16 Aufnahmen aus Russland sollen Militärparade von Kindergartenkindern zeigen +++

In Russland werden auch kleine Kinder schon früh an militärische Gepflogenheiten herangeführt.",Ramsan Kadyrow,2023-04-29T14:38:07Z,UgwAfNsjOT7ltexBTl14AaABAg
t68QfjvISZ8,"VERBRAUCHERSCHUTZ ? WÄRMEPUMMPEN ? JA JA JA ABSOLUT ! ! !
* * * ICH HABE SCHNAUZERVOLL VOM GAS AUS RUSSLAND",Chuotcong VN,2023-04-29T14:22:15Z,Ugz5DSFDfnBR8DxH68Z4AaABAg
t68QfjvISZ8,* * * WÄRMEPUMPE SCHUTZ 1.000% VOR RUSSISCHE GASHORROR.,Chuotcong VN,2023-04-29T14:16:21Z,Ugy7_8Vt1MYKdRNCmMh4AaABAg
t68QfjvISZ8,"Ja! Wie toll! Keiner verliert sein Haus oder sitzt am Ende ohne Heizung da! Danke Regierung, das Versprechen rettet uns und die Umwelt!😂
Warum werden uns eigentlich immer neue Probleme aufgetürmt, ohne überhaupt alte Probleme gelöst zu haben????😡",Chaot Mocla,2023-04-29T13:18:14Z,UgxpZj1OKbDW7REQEFR4AaABAg
t68QfjvISZ8,Raus aus der Psychiatrie Deutschland,Алексей В.,2023-04-29T12:07:16Z,UgytuI16Agl5lbNmYz14AaABAg
